invoice_id,invoice_amount,matched_transaction_ids,matched_amount,difference,status,confidence,ai_decision,ai_confidence,ai_reason,ai_action,ai_time_seconds,final_status
INV-00001,84810.0,TXN-00001,84810.0,0.0,MATCHED,98.75,,0.0,,NOT_REQUIRED,0.0,MATCHED
INV-00002,19289.0,TXN-00002,19289.0,0.0,MATCHED,99.0,,0.0,,NOT_REQUIRED,0.0,MATCHED
INV-00003,72482.0,TXN-00003,72382.0,-100.0,AMOUNT_MISMATCH,84.94,,0.0,,NOT_REQUIRED,0.0,AMOUNT_MISMATCH
INV-00004,31495.0,TXN-00004,28995.0,-2500.0,AMOUNT_MISMATCH,87.04,,0.0,,NOT_REQUIRED,0.0,AMOUNT_MISMATCH
INV-00005,92924.0,TXN-00005,92924.0,0.0,MATCHED,96.5,,0.0,,NOT_REQUIRED,0.0,MATCHED
INV-00006,1851.0,TXN-00006,1851.0,0.0,TIMING_DIFFERENCE,92.5,,0.0,,NOT_REQUIRED,0.0,TIMING_DIFFERENCE
INV-00007,29221.0,TXN-00007,29221.0,0.0,MATCHED,99.0,,0.0,,NOT_REQUIRED,0.0,MATCHED
INV-00008,48052.0,TXN-00008,48052.0,0.0,MATCHED,99.0,,0.0,,NOT_REQUIRED,0.0,MATCHED
INV-00009,96647.0,TXN-00009,96647.0,0.0,MATCHED,99.0,,0.0,,NOT_REQUIRED,0.0,MATCHED
INV-00010,11328.0,TXN-00010,11328.0,0.0,MATCHED,99.0,,0.0,,NOT_REQUIRED,0.0,MATCHED
INV-00011,82070.0,TXN-00011,82070.0,0.0,TIMING_DIFFERENCE,95.0,,0.0,,NOT_REQUIRED,0.0,TIMING_DIFFERENCE
INV-00012,93349.0,TXN-00012,93349.0,0.0,MATCHED,99.0,,0.0,,NOT_REQUIRED,0.0,MATCHED
INV-00013,38930.0,TXN-00013,38930.0,0.0,TIMING_DIFFERENCE,95.0,,0.0,,NOT_REQUIRED,0.0,TIMING_DIFFERENCE
INV-00014,37434.0,TXN-00014,36934.0,-500.0,AMOUNT_MISMATCH,88.22,,0.0,,NOT_REQUIRED,0.0,AMOUNT_MISMATCH
INV-00015,28460.0,TXN-00015,28460.0,0.0,MATCHED,99.0,,0.0,,NOT_REQUIRED,0.0,MATCHED
INV-00016,10358.0,TXN-00016,7858.0,-2500.0,AMOUNT_MISMATCH,90.35,,0.0,,NOT_REQUIRED,0.0,AMOUNT_MISMATCH
INV-00017,33087.0,TXN-00017,33087.0,0.0,MATCHED,99.0,,0.0,,NOT_REQUIRED,0.0,MATCHED
INV-00018,84886.0,TXN-00018,84386.0,-500.0,AMOUNT_MISMATCH,99.0,,0.0,,NOT_REQUIRED,0.0,AMOUNT_MISMATCH
INV-00019,31021.0,TXN-00019,31021.0,0.0,MATCHED,97.73,,0.0,,NOT_REQUIRED,0.0,MATCHED
INV-00020,9675.0,"TXN-00020-A,TXN-00020-B",9675.0,0.0,SPLIT_PAYMENT,95.0,,0.0,,NOT_REQUIRED,0.0,SPLIT_PAYMENT
INV-00021,42245.0,TXN-00407-B,38126.8,-4118.199999999997,AMOUNT_MISMATCH,69.17,,0.0,,NOT_REQUIRED,0.0,AMOUNT_MISMATCH
INV-00022,52856.0,"TXN-00022-A,TXN-00022-B",52856.0,0.0,SPLIT_PAYMENT,95.0,,0.0,,NOT_REQUIRED,0.0,SPLIT_PAYMENT
INV-00023,19301.0,"TXN-00023,TXN-DUP-00023",38602.0,19301.0,DUPLICATE,99.0,,0.0,,NOT_REQUIRED,0.0,DUPLICATE
INV-00024,35438.0,TXN-00024,32938.0,-2500.0,AMOUNT_MISMATCH,97.18,,0.0,,NOT_REQUIRED,0.0,AMOUNT_MISMATCH
INV-00025,48447.0,"TXN-00025-A,TXN-00025-B",48447.0,0.0,SPLIT_PAYMENT,95.0,,0.0,,NOT_REQUIRED,0.0,SPLIT_PAYMENT
INV-00026,12915.0,TXN-00026,12915.0,0.0,MATCHED,99.0,,0.0,,NOT_REQUIRED,0.0,MATCHED
INV-00027,21033.0,TXN-00027,21033.0,0.0,MATCHED,99.0,,0.0,,NOT_REQUIRED,0.0,MATCHED
INV-00028,9326.0,TXN-00028,9326.0,0.0,MATCHED,99.0,,0.0,,NOT_REQUIRED,0.0,MATCHED
INV-00029,33953.0,TXN-00029,33953.0,0.0,TIMING_DIFFERENCE,95.0,,0.0,,NOT_REQUIRED,0.0,TIMING_DIFFERENCE
INV-00030,90353.0,TXN-00030,90353.0,0.0,MATCHED,95.0,,0.0,,NOT_REQUIRED,0.0,MATCHED
INV-00031,45587.0,TXN-00031,45587.0,0.0,MATCHED,99.0,,0.0,,NOT_REQUIRED,0.0,MATCHED
INV-00032,60470.0,"TXN-00032-A,TXN-00032-B",60470.0,0.0,SPLIT_PAYMENT,95.0,,0.0,,NOT_REQUIRED,0.0,SPLIT_PAYMENT
INV-00033,35522.0,"TXN-DUP-00033,TXN-00033",71044.0,35522.0,DUPLICATE,99.0,,0.0,,NOT_REQUIRED,0.0,DUPLICATE
INV-00034,82959.0,TXN-00034,82959.0,0.0,TIMING_DIFFERENCE,95.0,,0.0,,NOT_REQUIRED,0.0,TIMING_DIFFERENCE
INV-00035,27071.0,TXN-00035,27071.0,0.0,MATCHED,96.94,,0.0,,NOT_REQUIRED,0.0,MATCHED
INV-00036,1074.0,TXN-00036,1074.0,0.0,MATCHED,99.0,,0.0,,NOT_REQUIRED,0.0,MATCHED
INV-00037,15662.0,TXN-00037,15662.0,0.0,MATCHED,99.0,,0.0,,NOT_REQUIRED,0.0,MATCHED
INV-00038,32385.0,TXN-00038,32385.0,0.0,MATCHED,99.0,,0.0,,NOT_REQUIRED,0.0,MATCHED
INV-00039,12226.0,TXN-00039,12226.0,0.0,MATCHED,99.0,,0.0,,NOT_REQUIRED,0.0,MATCHED
INV-00040,70822.0,TXN-00040,70822.0,0.0,MATCHED,99.0,,0.0,,NOT_REQUIRED,0.0,MATCHED
INV-00041,22643.0,TXN-00041,22643.0,0.0,MATCHED,99.0,,0.0,,NOT_REQUIRED,0.0,MATCHED
INV-00042,56461.0,"TXN-00042-A,TXN-00042-B",56461.0,0.0,SPLIT_PAYMENT,95.0,,0.0,,NOT_REQUIRED,0.0,SPLIT_PAYMENT
INV-00043,91422.0,TXN-00142,93591.0,2169.0,AMOUNT_MISMATCH,77.1,,0.0,,NOT_REQUIRED,0.0,AMOUNT_MISMATCH
INV-00044,53296.0,TXN-00044,52296.0,-1000.0,AMOUNT_MISMATCH,99.0,,0.0,,NOT_REQUIRED,0.0,AMOUNT_MISMATCH
INV-00045,60177.0,TXN-00045,60177.0,0.0,MATCHED,96.62,,0.0,,NOT_REQUIRED,0.0,MATCHED
INV-00046,78110.0,TXN-00046,78110.0,0.0,MATCHED,99.0,,0.0,,NOT_REQUIRED,0.0,MATCHED
INV-00047,1942.0,TXN-00422-B,2408.0,466.0,REVIEW_REQUIRED,47.65,HUMAN_REVIEW,0.0,Ollama request timed out.,HUMAN_REVIEW,32.12,REVIEW_REQUIRED
INV-00048,8716.0,TXN-00048,8716.0,0.0,MATCHED,95.0,,0.0,,NOT_REQUIRED,0.0,MATCHED
INV-00049,10287.0,TXN-00049,10287.0,0.0,MATCHED,99.0,,0.0,,NOT_REQUIRED,0.0,MATCHED
INV-00050,64624.0,TXN-00050,64624.0,0.0,MATCHED,99.0,,0.0,,NOT_REQUIRED,0.0,MATCHED
INV-00051,76525.0,TXN-00051,76525.0,0.0,MATCHED,95.0,,0.0,,NOT_REQUIRED,0.0,MATCHED
INV-00052,25957.0,TXN-00052,25957.0,0.0,MATCHED,99.0,,0.0,,NOT_REQUIRED,0.0,MATCHED
INV-00053,47438.0,TXN-00053,47438.0,0.0,MATCHED,99.0,,0.0,,NOT_REQUIRED,0.0,MATCHED
INV-00054,89259.0,TXN-00494,83203.0,-6056.0,AMOUNT_MISMATCH,73.75,,0.0,,NOT_REQUIRED,0.0,AMOUNT_MISMATCH
INV-00055,96448.0,TXN-00055,96448.0,0.0,TIMING_DIFFERENCE,95.0,,0.0,,NOT_REQUIRED,0.0,TIMING_DIFFERENCE
INV-00056,26112.0,TXN-00056,26112.0,0.0,MATCHED,99.0,,0.0,,NOT_REQUIRED,0.0,MATCHED
INV-00057,56296.0,TXN-00057,56296.0,0.0,MATCHED,96.4,,0.0,,NOT_REQUIRED,0.0,MATCHED
INV-00058,59082.0,TXN-00058,59082.0,0.0,TIMING_DIFFERENCE,93.23,,0.0,,NOT_REQUIRED,0.0,TIMING_DIFFERENCE
INV-00059,71855.0,TXN-00059,71855.0,0.0,MATCHED,99.0,,0.0,,NOT_REQUIRED,0.0,MATCHED
INV-00060,99771.0,TXN-00060,99771.0,0.0,MATCHED,99.0,,0.0,,NOT_REQUIRED,0.0,MATCHED
INV-00061,64653.0,TXN-00061,64653.0,0.0,MATCHED,96.76,,0.0,,NOT_REQUIRED,0.0,MATCHED
INV-00062,22579.0,TXN-00062,22579.0,0.0,MATCHED,99.0,,0.0,,NOT_REQUIRED,0.0,MATCHED
INV-00063,35760.0,"TXN-00063,TXN-DUP-00063",71520.0,35760.0,DUPLICATE,99.0,,0.0,,NOT_REQUIRED,0.0,DUPLICATE
INV-00064,92303.0,"TXN-00064-A,TXN-00064-B",92303.0,0.0,SPLIT_PAYMENT,95.0,,0.0,,NOT_REQUIRED,0.0,SPLIT_PAYMENT
INV-00065,64788.0,TXN-00065,64788.0,0.0,MATCHED,99.0,,0.0,,NOT_REQUIRED,0.0,MATCHED
INV-00066,8665.0,"TXN-00066,TXN-DUP-00066",17330.0,8665.0,DUPLICATE,99.0,,0.0,,NOT_REQUIRED,0.0,DUPLICATE
INV-00067,99038.0,TXN-00067,99038.0,0.0,MATCHED,99.0,,0.0,,NOT_REQUIRED,0.0,MATCHED
