transaction_id,description,amount,transaction_date
TXN-00001,PAYMENT RODRIGUEZ FIGUEROA,84810.0,2026-08-27
TXN-00002,UPI-DOYLE LTD,19289.0,2026-07-18
TXN-00003,PAYMENT MCCLAIN MILLER,72382.0,2026-08-29
TXN-00004,UPI-DAVIS AND,28995.0,2026-08-02
TXN-00005,GUZMAN HOFFMAN PAYMENT,92924.0,2026-07-31
TXN-00006,PAYMENT GARDNER ROBINSON,1851.0,2026-07-23
TXN-00007,BLAKE AND,29221.0,2026-07-17
TXN-00008,HENDERSON RAMIREZ,48052.0,2026-07-11
TXN-00009,NEFT-GARCIA JAMES,96647.0,2026-08-05
TXN-00010,UPI-ABBOTT MUNOZ,11328.0,2026-07-30
TXN-00011,PAYMENT BLAIR PLC,82070.0,2026-07-16
TXN-00012,PAYMENT DUDLEY GROUP,93349.0,2026-08-30
TXN-00013,NEFT-ARNOLD LTD,38930.0,2026-09-01
TXN-00014,MCCLURE WARD PAYMENT,36934.0,2026-08-05
TXN-00015,UPI-WILLIAMS AND SONS,28460.0,2026-07-23
TXN-00016,UPI-GALLOWAY WYATT,7858.0,2026-07-27
TXN-00017,JAMES GROUP PAYMENT,33087.0,2026-08-24
TXN-00018,FLOWERS MARTIN AND KELLY,84386.0,2026-07-21
TXN-00019,ADAMS ZUNIGA PAYMENT,31021.0,2026-07-13
TXN-00020-A,UPI-REID FERGUSON AND SANCHEZ,5805.0,2026-08-21
TXN-00020-B,UPI-REID FERGUSON AND SANCHEZ,3870.0,2026-08-21
TXN-00022-A,WATTS ROBINSON PAYMENT,31713.6,2026-07-09
TXN-00022-B,WATTS ROBINSON PAYMENT,21142.4,2026-07-09
TXN-00023,IMPS PEREZ INC,19301.0,2026-08-19
TXN-DUP-00023,IMPS PEREZ INC,19301.0,2026-08-19
TXN-00024,NEFT-MORALES JONES,32938.0,2026-07-18
TXN-00025-A,NEFT-WALTER EDWARDS,29068.2,2026-08-20
TXN-00025-B,NEFT-WALTER EDWARDS,19378.8,2026-08-20
TXN-00026,WILKERSON DAY,12915.0,2026-07-17
TXN-00027,IMPS BAKER AND SONS,21033.0,2026-07-25
TXN-00028,IMPS HOFFMAN BAKER AND RICHARDS,9326.0,2026-08-10
TXN-00029,ROSS ROBINSON AND BRIGHT,33953.0,2026-08-02
TXN-00030,UPI-SNYDER CAMPOS,90353.0,2026-07-09
TXN-00031,PAYMENT BURTON LTD,45587.0,2026-08-27
TXN-00032-A,UPI-CARLSON CRUZ,36282.0,2026-09-03
TXN-00032-B,UPI-CARLSON CRUZ,24188.0,2026-09-03
TXN-00033,FERRELL RICE AND MADDOX,35522.0,2026-08-02
TXN-DUP-00033,FERRELL RICE AND MADDOX,35522.0,2026-08-02
TXN-00034,IMPS FRAZIER INC,82959.0,2026-08-22
TXN-00035,IMPS DYER POTTER,27071.0,2026-08-25
TXN-00036,RODRIGUEZ GRAHAM,1074.0,2026-07-27
TXN-00037,SMITH BOWEN PAYMENT,15662.0,2026-07-06
TXN-00038,BAKER MASON AND WHITE,32385.0,2026-08-31
TXN-00039,HARRELL LLC,12226.0,2026-07-19
