invoice_id,expected_status,status,correct
INV-00001,MATCHED,MATCHED,True
INV-00002,MATCHED,MATCHED,True
INV-00003,AMOUNT_MISMATCH,AMOUNT_MISMATCH,True
INV-00004,AMOUNT_MISMATCH,AMOUNT_MISMATCH,True
INV-00005,MATCHED,MATCHED,True
INV-00006,TIMING_DIFFERENCE,TIMING_DIFFERENCE,True
INV-00007,MATCHED,MATCHED,True
INV-00008,MATCHED,MATCHED,True
INV-00009,MATCHED,MATCHED,True
INV-00010,MATCHED,MATCHED,True
INV-00011,TIMING_DIFFERENCE,TIMING_DIFFERENCE,True
INV-00012,MATCHED,MATCHED,True
INV-00013,TIMING_DIFFERENCE,TIMING_DIFFERENCE,True
INV-00014,AMOUNT_MISMATCH,AMOUNT_MISMATCH,True
INV-00015,MATCHED,MATCHED,True
INV-00016,AMOUNT_MISMATCH,AMOUNT_MISMATCH,True
INV-00017,MATCHED,MATCHED,True
INV-00018,AMOUNT_MISMATCH,AMOUNT_MISMATCH,True
INV-00019,MATCHED,MATCHED,True
INV-00020,SPLIT_PAYMENT,SPLIT_PAYMENT,True
INV-00021,MISSING_PAYMENT,AMOUNT_MISMATCH,False
INV-00022,SPLIT_PAYMENT,SPLIT_PAYMENT,True
INV-00023,DUPLICATE,DUPLICATE,True
INV-00024,AMOUNT_MISMATCH,AMOUNT_MISMATCH,True
INV-00025,SPLIT_PAYMENT,SPLIT_PAYMENT,True
INV-00026,MATCHED,MATCHED,True
INV-00027,MATCHED,MATCHED,True
INV-00028,MATCHED,MATCHED,True
INV-00029,TIMING_DIFFERENCE,TIMING_DIFFERENCE,True
INV-00030,MATCHED,MATCHED,True
INV-00031,MATCHED,MATCHED,True
INV-00032,SPLIT_PAYMENT,SPLIT_PAYMENT,True
INV-00033,DUPLICATE,DUPLICATE,True
INV-00034,TIMING_DIFFERENCE,TIMING_DIFFERENCE,True
INV-00035,MATCHED,MATCHED,True
INV-00036,MATCHED,MATCHED,True
INV-00037,MATCHED,MATCHED,True
INV-00038,MATCHED,MATCHED,True
INV-00039,MATCHED,MATCHED,True
INV-00040,MATCHED,MATCHED,True
INV-00041,MATCHED,MATCHED,True
INV-00042,SPLIT_PAYMENT,SPLIT_PAYMENT,True
INV-00043,MISSING_PAYMENT,AMOUNT_MISMATCH,False
INV-00044,AMOUNT_MISMATCH,AMOUNT_MISMATCH,True
INV-00045,MATCHED,MATCHED,True
INV-00046,MATCHED,MATCHED,True
INV-00047,MISSING_PAYMENT,REVIEW_REQUIRED,False
INV-00048,MATCHED,MATCHED,True
INV-00049,MATCHED,MATCHED,True
INV-00050,MATCHED,MATCHED,True
INV-00051,MATCHED,MATCHED,True
INV-00052,MATCHED,MATCHED,True
INV-00053,MATCHED,MATCHED,True
INV-00054,SPLIT_PAYMENT,AMOUNT_MISMATCH,False
INV-00055,TIMING_DIFFERENCE,TIMING_DIFFERENCE,True
INV-00056,MATCHED,MATCHED,True
INV-00057,MATCHED,MATCHED,True
INV-00058,TIMING_DIFFERENCE,TIMING_DIFFERENCE,True
INV-00059,MATCHED,MATCHED,True
INV-00060,MATCHED,MATCHED,True
INV-00061,MATCHED,MATCHED,True
INV-00062,MATCHED,MATCHED,True
INV-00063,DUPLICATE,DUPLICATE,True
INV-00064,SPLIT_PAYMENT,SPLIT_PAYMENT,True
INV-00065,MATCHED,MATCHED,True
INV-00066,DUPLICATE,DUPLICATE,True
INV-00067,MATCHED,MATCHED,True
INV-00068,SPLIT_PAYMENT,SPLIT_PAYMENT,True
INV-00069,TIMING_DIFFERENCE,TIMING_DIFFERENCE,True
INV-00070,TIMING_DIFFERENCE,TIMING_DIFFERENCE,True
INV-00071,AMOUNT_MISMATCH,AMOUNT_MISMATCH,True
INV-00072,MISSING_PAYMENT,REVIEW_REQUIRED,False
INV-00073,MATCHED,MATCHED,True
INV-00074,MISSING_PAYMENT,AMOUNT_MISMATCH,False
INV-00075,MATCHED,MATCHED,True
INV-00076,MATCHED,MATCHED,True
INV-00077,AMOUNT_MISMATCH,REVIEW_REQUIRED,False
INV-00078,MATCHED,MATCHED,True
INV-00079,MATCHED,MATCHED,True
INV-00080,MATCHED,MATCHED,True
INV-00081,SPLIT_PAYMENT,SPLIT_PAYMENT,True
INV-00082,TIMING_DIFFERENCE,TIMING_DIFFERENCE,True
INV-00083,MATCHED,MATCHED,True
INV-00084,AMOUNT_MISMATCH,AMOUNT_MISMATCH,True
INV-00085,MATCHED,MATCHED,True
INV-00086,MATCHED,MATCHED,True
INV-00087,MATCHED,MATCHED,True
INV-00088,MATCHED,MATCHED,True
INV-00089,MATCHED,MATCHED,True
INV-00090,MATCHED,MATCHED,True
INV-00091,MATCHED,MATCHED,True
INV-00092,MATCHED,MATCHED,True
INV-00093,SPLIT_PAYMENT,SPLIT_PAYMENT,True
INV-00094,MISSING_PAYMENT,AMOUNT_MISMATCH,False
INV-00095,MATCHED,MATCHED,True
INV-00096,DUPLICATE,DUPLICATE,True
INV-00097,TIMING_DIFFERENCE,TIMING_DIFFERENCE,True
INV-00098,SPLIT_PAYMENT,SPLIT_PAYMENT,True
INV-00099,DUPLICATE,DUPLICATE,True
INV-00100,DUPLICATE,DUPLICATE,True
INV-00101,MATCHED,MATCHED,True
INV-00102,TIMING_DIFFERENCE,TIMING_DIFFERENCE,True
INV-00103,MISSING_PAYMENT,AMOUNT_MISMATCH,False
INV-00104,MATCHED,MATCHED,True
INV-00105,MATCHED,MATCHED,True
INV-00106,SPLIT_PAYMENT,AMOUNT_MISMATCH,False
INV-00107,SPLIT_PAYMENT,SPLIT_PAYMENT,True
INV-00108,MATCHED,MATCHED,True
INV-00109,SPLIT_PAYMENT,SPLIT_PAYMENT,True
INV-00110,MATCHED,MATCHED,True
INV-00111,SPLIT_PAYMENT,SPLIT_PAYMENT,True
INV-00112,SPLIT_PAYMENT,SPLIT_PAYMENT,True
INV-00113,MATCHED,MATCHED,True
INV-00114,MISSING_PAYMENT,AMOUNT_MISMATCH,False
INV-00115,SPLIT_PAYMENT,SPLIT_PAYMENT,True
INV-00116,MATCHED,MATCHED,True
INV-00117,AMOUNT_MISMATCH,AMOUNT_MISMATCH,True
INV-00118,MISSING_PAYMENT,AMOUNT_MISMATCH,False
INV-00119,AMOUNT_MISMATCH,AMOUNT_MISMATCH,True
INV-00120,MATCHED,MATCHED,True
INV-00121,MATCHED,MATCHED,True
INV-00122,MATCHED,MATCHED,True
INV-00123,MISSING_PAYMENT,AMOUNT_MISMATCH,False
INV-00124,MISSING_PAYMENT,AMOUNT_MISMATCH,False
INV-00125,MATCHED,MATCHED,True
INV-00126,MATCHED,MATCHED,True
INV-00127,MATCHED,MATCHED,True
INV-00128,MATCHED,MATCHED,True
INV-00129,MISSING_PAYMENT,AMOUNT_MISMATCH,False
INV-00130,MATCHED,MATCHED,True
INV-00131,MATCHED,MATCHED,True
INV-00132,MATCHED,MATCHED,True
INV-00133,MATCHED,MATCHED,True
INV-00134,TIMING_DIFFERENCE,TIMING_DIFFERENCE,True
INV-00135,TIMING_DIFFERENCE,TIMING_DIFFERENCE,True
INV-00136,TIMING_DIFFERENCE,TIMING_DIFFERENCE,True
INV-00137,MATCHED,MATCHED,True
INV-00138,DUPLICATE,DUPLICATE,True
INV-00139,MATCHED,MATCHED,True
INV-00140,MATCHED,MATCHED,True
INV-00141,MATCHED,MATCHED,True
INV-00142,MATCHED,MATCHED,True
INV-00143,MATCHED,MATCHED,True
INV-00144,MATCHED,MATCHED,True
INV-00145,TIMING_DIFFERENCE,TIMING_DIFFERENCE,True
INV-00146,SPLIT_PAYMENT,SPLIT_PAYMENT,True
INV-00147,TIMING_DIFFERENCE,TIMING_DIFFERENCE,True
INV-00148,MATCHED,MATCHED,True
INV-00149,MATCHED,MATCHED,True
INV-00150,MATCHED,MATCHED,True
INV-00151,TIMING_DIFFERENCE,TIMING_DIFFERENCE,True
INV-00152,SPLIT_PAYMENT,SPLIT_PAYMENT,True
INV-00153,AMOUNT_MISMATCH,AMOUNT_MISMATCH,True
INV-00154,MATCHED,MATCHED,True
INV-00155,MATCHED,MATCHED,True
INV-00156,SPLIT_PAYMENT,SPLIT_PAYMENT,True
INV-00157,MATCHED,MATCHED,True
INV-00158,MATCHED,MATCHED,True
INV-00159,MATCHED,MATCHED,True
INV-00160,MATCHED,MATCHED,True
INV-00161,MATCHED,MATCHED,True
INV-00162,MATCHED,MATCHED,True
INV-00163,AMOUNT_MISMATCH,AMOUNT_MISMATCH,True
INV-00164,AMOUNT_MISMATCH,AMOUNT_MISMATCH,True
INV-00165,SPLIT_PAYMENT,SPLIT_PAYMENT,True
INV-00166,MATCHED,MATCHED,True
INV-00167,MATCHED,MATCHED,True
INV-00168,MATCHED,MATCHED,True
INV-00169,MATCHED,MATCHED,True
INV-00170,MATCHED,MATCHED,True
INV-00171,MATCHED,MATCHED,True
INV-00172,TIMING_DIFFERENCE,TIMING_DIFFERENCE,True
INV-00173,MATCHED,MATCHED,True
INV-00174,MATCHED,MATCHED,True
INV-00175,MATCHED,MATCHED,True
INV-00176,TIMING_DIFFERENCE,TIMING_DIFFERENCE,True
INV-00177,MISSING_PAYMENT,AMOUNT_MISMATCH,False
INV-00178,MATCHED,MATCHED,True
INV-00179,MATCHED,MATCHED,True
INV-00180,AMOUNT_MISMATCH,AMOUNT_MISMATCH,True
INV-00181,MATCHED,MATCHED,True
INV-00182,DUPLICATE,DUPLICATE,True
INV-00183,MATCHED,MATCHED,True
INV-00184,MATCHED,MATCHED,True
INV-00185,MATCHED,MATCHED,True
INV-00186,MATCHED,MATCHED,True
INV-00187,MATCHED,MATCHED,True
INV-00188,MATCHED,MATCHED,True
INV-00189,MATCHED,MATCHED,True
INV-00190,MISSING_PAYMENT,AMOUNT_MISMATCH,False
INV-00191,DUPLICATE,DUPLICATE,True
INV-00192,SPLIT_PAYMENT,SPLIT_PAYMENT,True
INV-00193,MATCHED,MATCHED,True
INV-00194,MATCHED,MATCHED,True
INV-00195,MATCHED,MATCHED,True
INV-00196,SPLIT_PAYMENT,SPLIT_PAYMENT,True
INV-00197,MATCHED,MATCHED,True
INV-00198,MATCHED,MATCHED,True
INV-00199,MATCHED,MATCHED,True
INV-00200,MATCHED,MATCHED,True
INV-00201,MATCHED,MATCHED,True
INV-00202,MATCHED,MATCHED,True
INV-00203,DUPLICATE,DUPLICATE,True
INV-00204,MATCHED,MATCHED,True
INV-00205,AMOUNT_MISMATCH,AMOUNT_MISMATCH,True
INV-00206,SPLIT_PAYMENT,SPLIT_PAYMENT,True
INV-00207,MATCHED,MATCHED,True
INV-00208,MATCHED,MATCHED,True
INV-00209,MATCHED,MATCHED,True
INV-00210,MISSING_PAYMENT,AMOUNT_MISMATCH,False
INV-00211,MATCHED,MATCHED,True
INV-00212,MISSING_PAYMENT,AMOUNT_MISMATCH,False
INV-00213,MATCHED,MATCHED,True
INV-00214,SPLIT_PAYMENT,SPLIT_PAYMENT,True
INV-00215,DUPLICATE,DUPLICATE,True
INV-00216,MATCHED,MATCHED,True
INV-00217,MATCHED,MATCHED,True
INV-00218,AMOUNT_MISMATCH,AMOUNT_MISMATCH,True
INV-00219,MATCHED,MATCHED,True
INV-00220,SPLIT_PAYMENT,SPLIT_PAYMENT,True
INV-00221,MATCHED,MATCHED,True
INV-00222,MISSING_PAYMENT,AMOUNT_MISMATCH,False
INV-00223,SPLIT_PAYMENT,SPLIT_PAYMENT,True
INV-00224,MATCHED,MATCHED,True
INV-00225,MATCHED,MATCHED,True
INV-00226,TIMING_DIFFERENCE,TIMING_DIFFERENCE,True
INV-00227,MATCHED,MATCHED,True
INV-00228,MATCHED,MATCHED,True
INV-00229,MATCHED,MATCHED,True
INV-00230,TIMING_DIFFERENCE,TIMING_DIFFERENCE,True
INV-00231,MATCHED,MATCHED,True
INV-00232,DUPLICATE,DUPLICATE,True
INV-00233,MATCHED,MATCHED,True
INV-00234,SPLIT_PAYMENT,SPLIT_PAYMENT,True
INV-00235,MATCHED,MATCHED,True
INV-00236,MATCHED,MATCHED,True
INV-00237,AMOUNT_MISMATCH,AMOUNT_MISMATCH,True
INV-00238,MATCHED,MATCHED,True
INV-00239,MATCHED,MATCHED,True
INV-00240,DUPLICATE,DUPLICATE,True
INV-00241,DUPLICATE,DUPLICATE,True
INV-00242,MATCHED,MATCHED,True
INV-00243,AMOUNT_MISMATCH,AMOUNT_MISMATCH,True
INV-00244,MATCHED,MATCHED,True
INV-00245,MATCHED,MATCHED,True
INV-00246,MATCHED,MATCHED,True
INV-00247,DUPLICATE,DUPLICATE,True
INV-00248,MATCHED,MATCHED,True
INV-00249,DUPLICATE,DUPLICATE,True
INV-00250,SPLIT_PAYMENT,SPLIT_PAYMENT,True
INV-00251,MATCHED,MATCHED,True
INV-00252,MATCHED,MATCHED,True
INV-00253,TIMING_DIFFERENCE,TIMING_DIFFERENCE,True
INV-00254,SPLIT_PAYMENT,SPLIT_PAYMENT,True
INV-00255,MATCHED,MATCHED,True
INV-00256,MATCHED,MATCHED,True
INV-00257,DUPLICATE,DUPLICATE,True
INV-00258,MATCHED,MATCHED,True
INV-00259,MATCHED,MATCHED,True
INV-00260,TIMING_DIFFERENCE,TIMING_DIFFERENCE,True
INV-00261,SPLIT_PAYMENT,SPLIT_PAYMENT,True
INV-00262,MATCHED,MATCHED,True
INV-00263,MATCHED,MATCHED,True
INV-00264,MATCHED,MATCHED,True
INV-00265,MISSING_PAYMENT,AMOUNT_MISMATCH,False
INV-00266,AMOUNT_MISMATCH,AMOUNT_MISMATCH,True
INV-00267,MATCHED,MATCHED,True
INV-00268,TIMING_DIFFERENCE,TIMING_DIFFERENCE,True
INV-00269,MATCHED,MATCHED,True
INV-00270,AMOUNT_MISMATCH,AMOUNT_MISMATCH,True
INV-00271,TIMING_DIFFERENCE,TIMING_DIFFERENCE,True
INV-00272,MATCHED,MATCHED,True
INV-00273,MATCHED,MATCHED,True
INV-00274,MATCHED,MATCHED,True
INV-00275,SPLIT_PAYMENT,SPLIT_PAYMENT,True
INV-00276,SPLIT_PAYMENT,SPLIT_PAYMENT,True
INV-00277,MATCHED,MATCHED,True
INV-00278,MATCHED,MATCHED,True
INV-00279,TIMING_DIFFERENCE,TIMING_DIFFERENCE,True
INV-00280,DUPLICATE,DUPLICATE,True
INV-00281,MATCHED,MATCHED,True
INV-00282,MATCHED,MATCHED,True
INV-00283,MATCHED,MATCHED,True
INV-00284,MATCHED,MATCHED,True
INV-00285,TIMING_DIFFERENCE,TIMING_DIFFERENCE,True
INV-00286,DUPLICATE,DUPLICATE,True
INV-00287,MISSING_PAYMENT,AMOUNT_MISMATCH,False
INV-00288,TIMING_DIFFERENCE,TIMING_DIFFERENCE,True
INV-00289,MATCHED,MATCHED,True
INV-00290,MISSING_PAYMENT,AMOUNT_MISMATCH,False
INV-00291,TIMING_DIFFERENCE,TIMING_DIFFERENCE,True
INV-00292,MATCHED,MATCHED,True
INV-00293,SPLIT_PAYMENT,SPLIT_PAYMENT,True
INV-00294,AMOUNT_MISMATCH,AMOUNT_MISMATCH,True
INV-00295,MATCHED,MATCHED,True
INV-00296,MATCHED,MATCHED,True
INV-00297,MATCHED,MATCHED,True
INV-00298,MISSING_PAYMENT,AMOUNT_MISMATCH,False
INV-00299,AMOUNT_MISMATCH,AMOUNT_MISMATCH,True
INV-00300,MATCHED,MATCHED,True
INV-00301,MISSING_PAYMENT,AMOUNT_MISMATCH,False
INV-00302,MATCHED,MATCHED,True
INV-00303,SPLIT_PAYMENT,SPLIT_PAYMENT,True
INV-00304,SPLIT_PAYMENT,SPLIT_PAYMENT,True
INV-00305,MATCHED,MATCHED,True
INV-00306,MATCHED,MATCHED,True
INV-00307,MATCHED,MATCHED,True
