invoice_id,customer,amount,invoice_date
INV-00001,"Rodriguez, Figueroa and Sanchez",84810,2026-08-27
INV-00002,Doyle Ltd,19289,2026-07-18
INV-00003,"Mcclain, Miller and Henderson",72482,2026-08-29
INV-00004,Davis and Sons,31495,2026-08-02
INV-00005,"Guzman, Hoffman and Baldwin",92924,2026-07-31
INV-00006,"Gardner, Robinson and Lawrence",1851,2026-07-17
INV-00007,Blake and Sons,29221,2026-07-17
INV-00008,"Henderson, Ramirez and Lewis",48052,2026-07-11
INV-00009,Garcia-James,96647,2026-08-05
INV-00010,Abbott-Munoz,11328,2026-07-30
INV-00011,Blair PLC,82070,2026-07-09
INV-00012,Dudley Group,93349,2026-08-30
INV-00013,Arnold Ltd,38930,2026-08-29
INV-00014,"Mcclure, Ward and Lee",37434,2026-08-05
INV-00015,Williams and Sons,28460,2026-07-23
INV-00016,Galloway-Wyatt,10358,2026-07-27
INV-00017,James Group,33087,2026-08-24
INV-00018,"Flowers, Martin and Kelly",84886,2026-07-21
INV-00019,"Adams, Zuniga and Wong",31021,2026-07-13
INV-00020,"Reid, Ferguson and Sanchez",9675,2026-08-21
INV-00021,Gray-Mayo,42245,2026-08-21
INV-00022,"Watts, Robinson and Nguyen",52856,2026-07-09
INV-00023,Perez Inc,19301,2026-08-19
INV-00024,Morales-Jones,35438,2026-07-18
INV-00025,"Walter, Edwards and Rios",48447,2026-08-20
INV-00026,Wilkerson-Day,12915,2026-07-17
INV-00027,Baker and Sons,21033,2026-07-25
INV-00028,"Hoffman, Baker and Richards",9326,2026-08-10
INV-00029,"Ross, Robinson and Bright",33953,2026-07-30
INV-00030,"Snyder, Campos and Callahan",90353,2026-07-09
INV-00031,Burton Ltd,45587,2026-08-27
INV-00032,Carlson-Cruz,60470,2026-09-03
INV-00033,"Ferrell, Rice and Maddox",35522,2026-08-02
INV-00034,Frazier Inc,82959,2026-08-15
INV-00035,"Dyer, Potter and Mack",27071,2026-08-25
INV-00036,Rodriguez-Graham,1074,2026-07-27
INV-00037,Smith-Bowen,15662,2026-07-06
INV-00038,"Baker, Mason and White",32385,2026-08-31
INV-00039,Harrell LLC,12226,2026-07-19
INV-00040,"Romero, Gonzalez and Brooks",70822,2026-07-16
INV-00041,Ryan PLC,22643,2026-08-18
INV-00042,George Group,56461,2026-08-21
INV-00043,Rodriguez LLC,91422,2026-08-22
INV-00044,Allen-Allen,53296,2026-07-23
INV-00045,"Arroyo, Miller and Tucker",60177,2026-08-27
INV-00046,Spence PLC,78110,2026-07-30
INV-00047,Anderson Group,1942,2026-08-30
INV-00048,"Martin, Rose and Obrien",8716,2026-08-20
INV-00049,Hickman Ltd,10287,2026-08-02
INV-00050,"Harris, Collins and Carney",64624,2026-08-21
INV-00051,"Brooks, Lam and Hayes",76525,2026-08-04
INV-00052,Walker LLC,25957,2026-08-28
INV-00053,Chapman and Sons,47438,2026-08-07
INV-00054,"Robinson, Jones and Welch",89259,2026-07-24
INV-00055,Jones Inc,96448,2026-08-13
INV-00056,Jones-Young,26112,2026-08-22
INV-00057,"Washington, Ryan and Cummings",56296,2026-08-23
INV-00058,"Johnston, Sanchez and Kennedy",59082,2026-07-14
INV-00059,Lee-Davis,71855,2026-07-12
INV-00060,Gomez-Jenkins,99771,2026-07-11
INV-00061,"Brown, Valdez and Lucas",64653,2026-08-04
INV-00062,Powell LLC,22579,2026-08-10
INV-00063,Wright and Sons,35760,2026-07-06
INV-00064,"West, Henderson and Ramirez",92303,2026-07-19
